域名,可达性,直接查询ip地址,无污染ip地址
uoregon.edu,unreachable,184.171.111.233,
podbean.com,unreachable,66.220.151.20,"104.22.1.202, 104.22.0.202"
texas.gov,unreachable,168.58.226.199,168.58.226.199
wenming.cn,unreachable,202.123.107.21,202.123.107.21
amnesty.org,unreachable,31.13.81.17,52.178.214.89
fastcgi.com,unreachable,216.213.99.150,216.213.99.150
google.pl,unreachable,31.13.68.1,172.217.160.99
treasury.gov,unreachable,166.123.218.220,
utk.edu,unreachable,160.36.239.51,160.36.239.51
microsoftonline.com,unreachable,"40.84.199.233, 52.178.167.109","52.178.167.109, 40.84.199.233"
nd.edu,unreachable,34.193.237.201,34.193.237.201
blogspot.com.au,unreachable,216.58.200.41,216.58.200.41
aarp.org,unreachable,"34.194.134.185, 3.94.234.158","34.194.134.185, 3.94.234.158"
nifty.com,unreachable,69.63.180.173,222.158.213.148
elmundo.es,unreachable,40.68.3.51,40.68.3.51
nap.edu,unreachable,144.171.20.6,
rsasecurity.com,unreachable,216.162.240.122,216.162.240.122
ssa.gov,unreachable,"137.200.39.19, 137.200.4.16","137.200.39.19, 137.200.4.16"
britishcouncil.org,unreachable,"165.160.15.20, 165.160.13.20",
lse.ac.uk,unreachable,185.18.139.140,185.18.139.140
hbo.com,unreachable,59.24.3.173,"52.5.61.70, 52.5.139.147"
motherjones.com,unreachable,69.171.228.74,192.0.66.2
squidoo.com,unreachable,"54.86.151.48, 52.20.203.10",
ctvnews.ca,unreachable,199.85.71.129,199.85.71.129
ohchr.org,unreachable,146.247.14.129,146.247.14.129
canada.ca,unreachable,"160.106.123.29, 205.193.117.159, 167.40.79.24, 205.193.215.159","167.40.79.24, 160.106.123.29, 205.193.215.159, 205.193.117.159"
bit.do,unreachable,54.83.52.76,54.83.52.76
thestreet.com,unreachable,"107.23.91.192, 107.23.89.155, 107.23.8.172","107.23.89.155, 107.23.8.172, 107.23.91.192"
rapidshare.com,unreachable,0.0.0.0,
homedepot.com,unreachable,35.201.95.83,35.201.95.83
it-it.facebook.com,unreachable,69.63.176.15,157.240.25.20
youronlinechoices.eu,unreachable,109.228.36.175,109.228.36.175
discordapp.com,unreachable,199.59.148.97,"162.159.133.233, 162.159.135.233, 162.159.129.233, 162.159.130.233, 162.159.134.233"
serverwatch.com,unreachable,70.42.23.51,
bloglovin.com,unreachable,31.13.73.23,"194.0.59.32, 194.0.59.31"
sueddeutsche.de,unreachable,69.171.225.13,69.171.232.21
itv.com,unreachable,52.48.32.52,
osha.gov,unreachable,40.114.117.130,40.114.117.130
cyberpolice.cn,unreachable,202.106.113.7,202.106.113.7
ajc.com,unreachable,"54.152.95.86, 54.88.210.127",
modsecurity.org,unreachable,204.13.200.240,204.13.200.240
boredpanda.com,unreachable,"34.195.149.54, 34.192.218.104","34.195.149.54, 34.192.218.104"
emory.edu,unreachable,170.140.125.20,
zoom.us,unreachable,88.191.249.182,174.37.154.236
goo.ne.jp,unreachable,66.220.152.17,153.254.147.65
jotform.com,unreachable,35.201.118.58,35.201.118.58
wetransfer.com,unreachable,"54.77.234.70, 52.30.20.178, 34.252.178.67","34.252.178.67, 52.30.20.178, 54.77.234.70"
cronolog.org,unreachable,210.158.238.214,210.158.238.214
macrumors.com,unreachable,162.254.116.23,162.254.116.23
pku.edu.cn,unreachable,162.105.129.103,162.105.129.103
ebay.de,unreachable,"66.135.196.249, 66.135.195.175","66.135.196.249, 66.135.195.175"
blogspot.it,unreachable,67.228.37.26,172.217.27.137
sba.gov,unreachable,35.172.120.240,
mega.nz,unreachable,173.252.73.48,66.220.147.47
ford.com,unreachable,136.1.107.78,136.1.107.78
